country,tert_b_grad_rate,tert_a_grad_rate,year,education_spending,ancillary_spending,rd_spending,total_spending,partner_country,tert_percent_gdp,tert_a_percent_gdp,tert_b_percent_gdp,all_ed_percent_gdp,population,gdp_usd,gdp_usd_capita
Spain,0.171952778316078,0.326,2004,6853.08577400521,NA,2524.58517161418,9377.67094561939,0,0.0118291001373636,NA,NA,0.0474342285378274,42859172,1121204316000,26160.194832
Sweden,0.0430705469132458,0.3736044032191619,2004,8354.86372751954,NA,7863.31216714646,16218.175894666,0,0.0175536128645924,NA,NA,0.0668071184410789,8993534,304256148000,33830.671978
Switzerland,0.108524813539163,0.25931460303456844,2004,12515.018480501929,NA,9451.067230715673,21966.0857112176,0,0.016,0.016,NA,0.0624758188489995,7389626,297823895000,40011.303647
Turkey,NA,0.10758407079646,2004,4169.5429147395,NA,NA,NA,0,0.0101275723286171,NA,NA,0.0412206868202214,67598736,735155229000,10875.238229
United Kingdom,0.162542202548144,0.39320238362206617,2004,8791.65706849941,NA,2692.62512484756,11484.282193347,0,0.0111618242471371,NA,NA,0.0591657696362389,59950364,1921522812000,32052.09027
United States,0.0930340117038077,0.3360333800474361,2004,17737.6756553871,2103.97949592922,2634.0490418122,22475.7041931285,0,0.0291457650790203,NA,NA,0.0739841290203414,292805298,12217196000000,41659.662691
Brazil,NA,NA,2004,8903,NA,116,9019.373669975334,1,0.00666,0.00666,NA,0.03868,182865043,1922011090000,10510.544053
Chile,NA,NA,2004,NA,NA,NA,6872.55258390222,1,0.020479615528896197,0.0160018900467482,0.00447772548214801,0.06402367040498741,16022133,189179005000,11757.51176
Israel,NA,0.3182490322059229,2004,8658,113,2517,11289,1,0.0192936881530816,0.0154134543917688,0.00388023376131279,0.08336673127650579,6809000,171760602000,25123.779361
Russian Federation,NA,NA,2004,NA,NA,NA,2561.61400851585,1,0.006500000000000001,0.00515,0.00135,0.03552,143821218,1582506988000,10984.496611
Australia,NA,0.593710512282712,2005,9544.3859780562,654.301944258027,4380.56111067764,14579.2490329919,0,0.016160580435524,0.0148122478387747,0.0013483325967493102,0.0580642791108791,20176844,719149954000,35642.418706
Austria,0.0764390263147512,0.20378303728666,2005,9952.05791845134,108.665069011592,4714.33303229733,14775.0560197603,0,0.0129607065177516,0.0122651803692985,6.95526148453104e-4,0.0551048351608038,8225277.999999999,288086722000,35024.557484
Belgium,NA,NA,2005,7724.60136098138,321.18985586928,3914.55397788996,11960.3451947406,0,0.0123803694868041,NA,NA,0.060307503759945605,10478617,347658439000,33176.680884
Canada,NA,NA,2005,13463.415918792023,1526.7821369959631,5165.532274441938,20156,0,0.0256444303707986,0.0157651686949179,0.00987926167588071,0.0619798350478326,32243752.999999996,1171340162000,36327.662059
Czech Republic,0.057011924372767205,0.249245829181157,2005,5234.23508519428,175.221230733531,1239.14831362744,6648.60462955525,0,0.01042034700685,0.00996013015936556,NA,0.0464656015519516,10234092,225620781000,22045.99888
Denmark,0.101072495380803,0.45507493952232203,2005,NA,NA,NA,14958.8749401006,0,0.016946729032008702,NA,NA,0.073806321787335,5415978,185074466000,34152.881663
Finland,0.0018616340400197,0.473488343192644,2005,7574.986886454415,7.46778536697478,4702.54532817861,12285,0,0.0173188196898701,0.0173188196898701,NA,0.0598172431083225,5246100,168146753000,32051.762889
France,NA,NA,2005,7014.93396410311,657.919503622628,3322.57630561148,10995.4297733372,0,0.0133194134072521,0.0105200413755929,0.0027993720316592,0.0601496809224638,62958328,1926880385000,30504.058784
Germany,0.10672823286833,0.19884701832056698,2005,7157.75313032798,613.962579704093,4674.24201776455,12445.9577277966,0,0.010938561007054499,0.010078328331217901,8.60232675836643e-4,0.0509990207591338,82469421,2622039802000,32236.740986
Greece,0.121945440544592,0.249266466910659,2005,4458.62318990686,469.546319181473,1202.32655992872,6130.49606901705,0,0.0146349747940426,0.011729303846099598,0.00290567094794294,0.042056131753747304,10987316,281028396000,25577.445437
